new_names;cv_mean_1;cv_mean_2;letter_mean_1;letter_mean_2;pres_mean_1;pres_mean_2;pres_class_1;pres_class_2;video_points_1;video_points_2;all_points_1;all_points_2
Dipl.-Ing. Rochus Girschner MBA.;4,5;3,75;5;3,25;8,75;6,5;2;2;0;;73;54
Jan-Peter Stumpf;2,5;3,5;4,25;4,75;9;6,75;2;2;20;20;83;80
Marga Preda;2,75;4,25;4,75;4,5;7;6,25;2;2;15;15;73;75
Diana Dobre;3,75;3,25;4,75;4,25;9,5;8,75;3;3;0;;72;65
Rita Otto-Röhricht;3,25;4;5;5;9,75;6;2;2;;;72;60
Zora Skokanová;1,75;1,5;3;4;2,5;2,75;3;3;;;29;33
Aleš Martin;3,75;4,5;5;5;9;8,5;2;2;15;15;86;87
Romana Rysová;3,25;4;5;4,75;9,25;9;1;1;20;20;90;91
Áron Šidlo Ph.D.;0;0;1,25;2,5;0;0;0;0;;20;5;30
Tadeáš Valach;3,75;4,5;4,75;5;0;0;0;0;20;20;54;58
Iris Barbu;0;1;2;3;0;0;0;0;;;8;16
Grațian Dinu;3,5;3;5;4,5;9,25;9,5;1;1;15;15;86;83
Zoran Duša;5;5;4,25;4,5;9,75;9,25;2;2;20;20;96;95
Oswald Kostolzin;5;5;4,75;5;9,5;10;2;2;20;20;97;100
Ionuț Dobre;3;3,75;5;5;2,75;6,75;1;1;15;15;58;77
Ľubor Vlnka;2,5;3,25;4;3,5;6,5;7;2;2;15;15;67;70
Gundi Heinrich;2,75;3,5;4;4;9,25;7,5;3;3;20;20;84;80
Stana Albu;1;3;4,5;3,5;8;9,25;2;2;20;;74;63
Frau Nelly Reising;4,5;4,5;5;5;8,5;6;2;2;;;72;62
Yvonne Rosemann .;4,5;4,5;3,25;5;9,25;8,5;1;1;20;20;88;92
Roland Kušo;3,5;4,75;4,25;5;9,25;5,25;2;2;;;68;60
Janeta Diaconu;1;2,75;2;2,5;3,75;5,5;3;3;20;20;47;63
Romina Oprea;3,25;4,5;4;4,5;9;6,5;2;2;;;65;62
Zlatko Palov;3;3,25;2,25;5;2;4;2;2;;;29;49
Hertha Steckel;4,5;4,25;5;4,5;9;8,25;2;2;15;15;89;83
Cecilia Marin;4,5;4,75;4,5;4,75;9,75;8,5;2;2;;;75;72
Dora Mocanu;3,25;4;4;5;9,75;8,75;1;1;20;20;88;91
Oskár Makovica;5;5;4,25;4,75;9,25;7,5;2;2;20;20;94;89
Bartolomej Deák;3;4,25;4;4,25;9,25;8,75;2;2;;;65;69
Vito Ernst;3;3,5;2;5;8;4;2;2;;0;52;50
Zaraza Oprea;1,5;2,25;2,75;3,25;5,5;0;1;1;20;20;59;42
Liane Heß B.Eng.;3;2,75;1,75;4,5;6,75;5,75;2;2;;;46;52
Benone Stoica;4,25;4,5;5;3,5;9,75;8;2;2;;;76;64
Nadia Langern;3;4,25;4,25;4,25;8,25;6,25;2;2;20;20;82;79
Siegward Mühle;2,75;3;3;4,5;8;8;2;2;10;10;65;72
Žofia Sameľová;2,75;4,25;4,25;4,25;9,25;9,25;2;2;20;20;85;91
Olimpian Tudor;4,75;4;4,5;4,75;7,25;7,5;3;3;10;10;76;75
Consuela Cristea;3,25;3,5;3,75;4,25;7,75;7,25;1;1;;;59;60
Viktória Čobrdová;3;3,25;3,25;3,5;8,5;8,5;2;2;20;20;79;81
Kristína Macková;4;3,5;2,5;2,5;4;4,75;2;2;;;42;43
Lucie Krein B.Sc.;0,75;2,5;2,5;5;4,5;6,75;2;2;;;31;57
Sanda Oprea;3,25;3,5;4,5;4,25;5,75;5;1;1;20;20;74;71
Alina Toma;3;5;3,25;4,25;8,75;6,75;2;2;;;60;64
Teona Marin;2,5;3,25;2,75;2,5;9,25;6,75;2;2;15;15;73;65
Erdal Metz;5;5;4;4,5;8,75;8,75;2;2;20;20;91;93
Severín Kuruc;3;4,5;0,5;1,25;0;4;0;0;;15;14;54
Felix Dochioiu;4,25;4,25;4,5;4,5;9;9;2;2;15;15;86;86
Ludmila Ababei;2,75;2,5;4,75;4,75;8,75;9,75;2;2;20;20;85;88
Dipl.-Ing. Sabrina Haering B.Eng.;3,25;1,75;3;3,5;8,25;5,75;2;2;;0;58;44
Hans Josef Klingelhöfer;4;3,75;5;4,75;9,25;9,25;3;3;15;15;88;86
Ladislaus Röhrdanz-Kühnert;4,75;0;5;3,25;7,75;7,75;2;2;;0;70;44
Júlia Feldeková;2,5;1,5;2;2,5;0;0;0;0;;;18;16
Žofia Krajčová;2,25;3,25;3;2,5;9;6,25;2;2;20;20;77;68
Sabrina Ababei;2,25;2,75;2,5;3,75;9,25;6,25;1;1;;;56;51
Herta Sauer;4;5;4,5;4,25;8,75;9,5;2;2;0;0;69;75
Brigitta Lange;4;1,75;4,5;3,25;0;0;0;0;;;34;20
Anna Šulcová;4;3,25;5;4,25;10;9,75;2;2;20;20;96;89
Mirona Suciu;4,5;3,25;4,5;4;0;0;0;0;;;36;29
Vasil Kotian;4,25;3,25;4,75;4,25;9,25;7,5;2;2;20;20;93;80
Roman Kolnik;4;3,25;4,75;4,75;9,5;8,75;2;2;20;15;93;82
Stela Bobuľová;4,25;2;4;4;9;7,5;2;2;0;3;69;57
Ioannis Scheuermann;4,75;4,5;4,25;4,5;10;8,5;2;2;20;10;96;80
Emanuel Plavucha;2,25;0,5;3,5;4,25;10;6,25;1;1;20;20;83;64
Ștefania Albu;4,5;2,75;4,25;4,5;6,5;7,25;1;1;20;20;81;78
Prof. Hans-Bernd Bloch .;2;2,25;4,5;2,75;10;6,75;2;2;14;20;80;67
Ljubica Berger MBA.;3,5;2,5;4,5;4,5;9,25;6,25;1;1;18;20;87;73
Bruno Jánoško;3,25;3;4,5;3,5;9;4,75;1;1;;;67;45
Francisco Häring;4,5;1,75;4;4,75;8,5;6,5;2;2;;;68;52
Margita Paulíková;4,5;4,5;4,5;4;9,75;8,25;2;2;20;20;95;87
Svetozár Kocur;4,75;3,25;5;4;10;6,5;1;1;;;79;55
Marek Holub;4,25;3,5;4,75;4,75;8,5;8,25;2;2;20;20;90;86
Klement Janoško;0;2,25;4;4;8,25;6;2;2;;;49;49
Rodica Popescu;4;1,25;4,5;2,5;9,25;0;1;1;;;71;15
Antonina Köhler;0;1,25;4,5;4,75;9,5;6;1;1;;;56;48
Petrana Michalková;4,75;3,25;4,75;4,5;9,5;8;2;2;20;20;96;83
Silvana Diaconu;4,5;2,25;4,75;4,25;9,75;9,25;2;2;20;20;96;83
Vendelín Beňuška;4,25;1,75;4,5;3,75;8,75;8,75;3;3;;;70;57
Crenguța Ioniță;4,5;3,5;4,75;5;9,25;2,25;1;1;;;74;43
Ing. Margit Rädel;4,5;2,75;4,75;3,75;7,25;8;2;2;;;66;58
Profira Dumitrescu;4;4;4,25;4,5;8,5;10;2;2;20;20;87;94
Justína Dudoková;3,5;1,25;4,5;2,25;6,25;0;2;2;13;;70;14
Emanuel Zima;4,5;2;4,75;5;8,5;9;1;1;;;71;64
Hans-Martin Jähn;3,5;3,25;3,5;3,5;7,75;2;2;2;;;59;35
JU Drahomír Rojko;3,5;2;4,75;0;7,75;0;2;2;;;64;8
Dipl.-Ing. Susann Junitz B.Sc.;4,25;4;4,25;5;9,5;9,5;1;1;20;20;92;94
JU Anton Husák;4,5;4,75;4,75;4,25;9,75;7,5;2;2;;;76;66
Ana Ababei;4,5;4,25;5;5;8,75;8,5;2;2;20;20;93;91
Ľubomíra Dánová;4,5;3,75;4,25;3,75;9,5;8,25;1;1;15;15;88;78
Emine Preiß B.Eng.;4,5;3,5;3,5;4,25;9,25;9,25;2;2;20;20;89;88
Dipl.-Ing. Hans Jörg Bohnbach B.Eng.;4,75;3,5;5;4,5;4,75;2,25;1;1;0;;58;41
Pietro Tlustek;4,75;4;4,75;5;10;9,75;2;2;20;10;98;85
Josefa Seidel-Ebert;4;3,25;4,25;2,5;7,25;7,25;2;2;;;62;52
Arsenie Florea;5;4,75;5;4,75;0;0;0;0;;;40;38
Erika Šlahorová DSc.;4,25;4,5;5;4,75;7,75;8,25;2;2;20;20;88;90
Emil Rybár;4;3,75;5;4,5;9,75;9,25;1;1;18;15;93;85
Andrei Albu;4,25;2,75;4,5;3,5;6,5;6;2;2;18;20;79;69
Univ.Prof. Anette Schottin;4,25;3;5;4,25;9,75;5,75;2;2;;;76;52
Ing. Otmar Hölzenbecher .;1,75;1,25;4,25;3;3,25;3;3;3;0;;37;29
Tania Stoica;4,5;3,5;4,75;4,75;10;9,5;2;2;20;20;97;91
Nelu Voinea;4,5;3;5;5;7;7,5;3;3;20;20;86;82
Antoaneta Stancu;4,5;4,5;4;4;5;10;1;1;;0;54;74
Blanduzia Gheorghiu;4,75;4;4;5;10;7,5;2;2;20;20;95;86
Adam Mazilescu;3,25;3;3,5;4,75;7;8;2;2;20;20;75;83
Sláva Dulová;5;5;5;4,25;7,5;4,75;2;2;;0;70;56
Trudi Radisch;2,5;3,25;3,25;5;9,5;9,5;2;2;10;10;71;81
Branislav Jakubík;3,25;2,5;3;4,75;9;7,75;1;1;0;0;61;60
Enna Kocianová;2,25;1,5;3;5;7,75;8,25;2;2;;0;52;59
Nicuță Stănescu;4,25;3,5;5;4,75;10;7;3;3;;0;77;61
Ioan Ene;2,5;2,75;2,5;5;0;8;0;0;15;15;35;78
Sorana Dima;3,5;1,5;4,25;4,75;7;2,75;2;2;;;59;36
Faruk Ring;5;3,75;5;4,25;10;9,5;1;1;;;80;70
Hans-Rainer Henck;3,5;2,75;3,5;4,5;7;7,5;2;2;15;20;71;79
Woldemar Rädel;2;2;3,75;4,75;7;8,5;2;2;15;15;66;76
Sabína Danková;4,25;4,25;4,75;5;7,5;9;2;2;20;;86;73
Vlastimil Roháčik;3;3,5;5;5;8,5;5,25;2;2;20;20;86;75
Anica Dinu;3,5;4;4,5;4,75;7,75;9,25;2;2;;;63;72
Karlheinz Kroker B.Eng.;3;3;3,5;5;0,25;0;2;2;;;27;32
